Re,Overlap,AOA,COL
20,0,20,2.27738712930314
20,0,50,2.2832526176655
20,100,20,3.19200326967598
20,100,50,3.23279180011625
200,0,20,1.11839036616028
200,0,50,1.28989753125435
200,100,20,1.55708445445387
200,100,50,1.85307140872766
20,50,35,2.62381654638674
200,50,35,1.34685652693227
110,0,35,1.27101012268293
110,100,35,1.77435546868794
110,50,20,1.44881350841
110,50,50,1.62749242224294
110,50,35,1.47498722684716
57.20419849,18.31996,32.30585323,1.53250799900801
145.4657454,83.50974,22.10251727,1.55281545569966
166.1200507,76.49127,30.80819024,1.4946463502662
47.6857399,48.72949,49.50508215,1.91348151949467
107.8717547,23.73004,41.80030766,1.42140955015118
173.3235064,7.59871,40.18464758,1.25737613400741
74.66062218,52.84298,25.13762363,1.58068884736541
192.1350404,49.88275,45.92314601,1.49086727974719
68.64845554,32.7323,41.95866501,1.58747130693677
137.9875908,72.18085,47.41723584,1.69859470760694
50.47262668,10.82577,32.49721274,1.55737438626563
33.02186271,90.55857,31.11328638,2.42794246592236
100.9066997,29.5585,26.55135624,1.36903049580151
110.7263596,84.49949,20.98007458,1.64959056816625
38.68356965,48.71774,42.8720715,1.9920737873431
184.0181206,62.4083,20.60229674,1.37140664109756
21.28846132,81.95198,31.27143425,2.88438174280543
61.17141546,77.35999,23.66337913,1.84338006297285
144.5006772,32.00013,34.16355566,1.32494973157754
175.7344864,1.11846,28.20812798,1.14803110450891
111.8615424,92.21561,48.14362184,1.89425687802012
97.05953177,27.35147,45.75230886,1.49544352428577
110,50,27.5,1.4325684497629
110,50,42.5,1.55221575742714
110,25,35,1.36308158570037
110,75,35,1.62683638424537
65,50,35,1.65027625615045
155,50,35,1.39305396076683
